Tab 		Custom Button	HandlerID	TextID
-----------------------------------------------------------
Main		1		103000.80	103001.1
Defaults	1		103000.81	103001.2
Notes		1		103000.82	103001.3 **
Qty Breaks	1		103000.83	103001.4
Ledger		1		103000.84	103001.5
Value		1		103000.85	103001.6
Build		1*		103000.86	103001.7
WOP		1		103000.87	103001.10
VAT		1		103000.88	103001.9
Serial		1		103000.89	103001.8
Main		2		103000.90	103001.11
Defaults	2		103000.91	103001.12
Notes		2		103000.92	103001.13 **
Qty Breaks	2		103000.93	103001.14
Ledger		2		103000.94	103001.15
Value		2		103000.95	103001.16
Build		2*		103000.96	103001.17
WOP		2		103000.97	103001.20
VAT		2		103000.98	103001.19
Serial		2		103000.99	103001.18

* Menu Option
** Not yet implemented
