"","PermissionID","","GroupID","","PermissionDesc"
"0","1","0","2","0","Run SecAdmin"
"0","2","0","3","0","Create Users"
"0","3","0","3","0","Create Supervisors"
"0","4","0","3","0","Edit Users"
"0","5","0","3","0","Copy Users"
"0","6","0","3","0","Delete Users"
"0","7","0","4","0","Create Permissions"
"0","8","0","4","0","Create Security Groups"
"0","12","0","4","0","Delete Security Groups"
"0","10","0","4","0","Rename Security Groups"
"0","11","0","4","0","Edit Structure"
"0","13","0","5","0","Create User Groups"
"0","14","0","5","0","Delete User Groups"
"0","59","0","15","0","Enter Admin Auditing Area"
"0","16","0","5","0","Edit User Groups"
"0","17","0","6","0","Run WebRel"
"0","18","0","7","0","System Tab"
"0","19","0","7","0","Modules Tab"
"0","20","0","7","0","Plug-In Tab"
"0","21","0","7","0","Vectron Tab"
"0","22","0","7","0","Other Tab"
"0","26","0","9","0","Directors Password"
"0","25","0","9","0","Daily System Password"
"0","24","0","9","0","MCM Password"
"0","23","0","9","0","Plug-In Password"
"0","27","0","10","0","Resynchronise Companies"
"0","28","0","10","0","Reset Enterprise User Counts"
"0","29","0","10","0","Reset Plug-In User Counts"
"0","36","0","13","0","Get Plug-In Release Code"
"0","35","0","12","0","Allow Full Module Release Codes"
"0","34","0","12","0","Request Module Release Code (dealer version)"
"0","33","0","12","0","Get Module Release Code"
"0","32","0","11","0","Allow Full System Release Codes"
"0","31","0","11","0","Request System Release Code (dealer version)"
"0","41","0","11","0","Get System Release Code"
"0","40","0","14","0","Allow Full Vectron Release Codes"
"0","39","0","14","0","Get Vectron Release Code"
"0","38","0","13","0","Allow Full Plug-In Release Codes"
"0","42","0","11","0","Get System User Count Release Code"
"0","43","0","11","0","Request System User Count Release Code (dealer version)"
"0","44","0","12","0","Get Module User Count Release Code"
"0","45","0","12","0","Request Module User Count Release Code (dealer version)"
"0","46","0","13","0","Get Plug-In User Count Release Code"
"0","47","0","11","0","Allow Full System User Count Release Codes"
"0","48","0","12","0","Allow Full Module User Count Release Codes"
"0","49","0","13","0","Allow Full Plug-In User Count Release Codes"
"0","50","0","11","0","Get System Companies Release Code"
"0","51","0","15","0","Enter Security Auditing Area"
"0","52","0","15","0","Enter Admin Area"
"0","53","0","9","0","Request Daily System Password"
"0","54","0","9","0","Request Directors Password"
"0","55","0","9","0","Request MCM Password"
"0","56","0","9","0","Request Plug-In Password"
"0","57","0","10","0","Request Reset Enterprise User Counts"
"0","58","0","10","0","Request Resynchronise Companies"
"0","60","0","15","0","Use Dummy Customer (internal version)"
"0","61","0","15","0","Release to All Customers"
"0","62","0","15","0","Override 30-Day Customer Code Restriction"
"0","63","0","15","0","Override Thresholds"
"0","64","0","14","0","Vectron Daily Password"
"0","65","0","7","0","Show All Modules"
"0","66","0","11","0","Request Full Enterprise Release Code"
"0","67","0","11","0","Get 30 Day Enterprise Release Code"
"0","68","0","11","0","Request 30 Day Enterprise Release Code"
"0","69","0","11","0","Request 30 Day Module Release Code"
"0","71","0","14","0","Request Vectron Daily Password"
